#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
146,Trey Lyles,DEN,73,19.0,3.7,7.5,.491,1.1,3.0,.381,1.4,2.0,.706,0.8,1.5,0.8,4.0,4.8,1.2,0.4,0.5,9.9
147,Jae Crowder,UTA,80,26.1,3.4,8.4,.404,1.4,4.3,.323,1.5,1.9,.818,0.9,2.3,0.7,2.7,3.4,1.2,0.8,0.3,9.7
148,Mario Hezonja,ORL,75,22.1,3.6,8.2,.442,1.2,3.6,.337,1.1,1.4,.819,1.1,1.8,0.5,3.2,3.7,1.4,1.1,0.4,9.6
149,Marvin Williams,CHA,78,25.7,3.3,7.2,.458,1.6,3.9,.413,1.3,1.6,.829,0.8,1.5,0.9,3.8,4.7,1.2,0.7,0.5,9.5
150,Ryan Anderson,HOU,66,26.1,3.1,7.3,.431,2.0,5.1,.386,1.1,1.4,.774,0.6,1.9,1.4,3.6,5.0,0.9,0.4,0.3,9.3
151,Al-Farouq Aminu,POR,69,30.0,3.3,8.4,.395,1.8,4.9,.369,0.9,1.2,.738,1.1,2.0,1.4,6.2,7.6,1.2,1.1,0.6,9.3
152,Lance Stephenson,IND,82,22.6,3.7,8.6,.427,0.8,2.8,.289,1.0,1.5,.661,1.6,2.2,0.8,4.4,5.2,2.9,0.6,0.2,9.2
153,Kyle Korver,CLE,73,21.6,3.0,6.6,.459,2.2,5.2,.436,0.9,1.0,.889,0.8,1.8,0.1,2.1,2.3,1.2,0.4,0.4,9.2
154,Michael Kidd-Gilchrist,CHA,74,25.0,3.8,7.6,.504,0.0,0.0,.000,1.6,2.3,.684,0.7,1.9,1.1,2.9,4.1,1.0,0.7,0.4,9.2
155,Anthony Tolliver,DET,79,22.2,2.8,6.0,.464,2.0,4.6,.436,1.3,1.7,.797,0.7,1.8,0.6,2.4,3.1,1.1,0.4,0.3,8.9
156,Troy Daniels,PHX,79,20.5,2.9,7.3,.403,2.3,5.8,.400,0.7,0.8,.875,0.7,1.7,0.2,1.5,1.6,0.6,0.3,0.1,8.9
157,Manu Ginobili,SAS,65,20.0,3.1,7.1,.434,1.0,3.0,.333,1.7,2.0,.840,1.6,1.9,0.3,1.9,2.2,2.5,0.7,0.2,8.9
158,Mike Scott,WAS,76,18.5,3.6,6.9,.527,0.9,2.1,.405,0.7,1.0,.658,1.0,1.9,0.7,2.6,3.2,1.1,0.3,0.1,8.8
159,John Henson,MIL,76,25.9,3.8,6.6,.572,0.0,0.1,.143,1.2,2.1,.570,1.1,2.7,2.0,4.8,6.8,1.5,0.6,1.4,8.8
160,Skal Labissiere,SAC,60,20.7,3.4,7.6,.448,0.3,0.8,.353,1.6,2.0,.805,1.2,2.2,1.6,3.1,4.8,1.2,0.4,0.8,8.7
161,Shabazz Napier,POR,74,20.7,3.0,7.2,.420,1.1,2.9,.376,1.6,1.9,.841,1.2,1.1,0.4,1.9,2.3,2.0,1.1,0.2,8.7
162,"Larry Nance, Jr.",CLE,66,21.5,3.6,6.3,.581,0.0,0.2,.167,1.4,2.1,.664,0.8,2.6,2.4,4.4,6.8,1.2,1.3,0.6,8.7
163,Stanley Johnson,DET,69,27.4,3.0,8.1,.375,1.0,3.4,.286,1.6,2.1,.772,1.1,2.4,0.5,3.2,3.7,1.6,1.4,0.2,8.7
164,Emmanuel Mudiay,NYK,64,19.4,3.2,8.2,.388,0.7,2.3,.318,1.5,2.0,.760,1.8,1.2,0.4,2.0,2.4,3.2,0.6,0.2,8.6
165,Fred VanVleet,TOR,76,20.0,3.1,7.2,.426,1.4,3.4,.414,1.1,1.3,.832,1.0,1.7,0.3,2.1,2.4,3.2,0.9,0.2,8.6
166,Danny Green,SAS,70,25.6,3.1,8.0,.387,1.7,4.6,.362,0.7,0.9,.769,1.1,1.7,0.6,3.0,3.6,1.6,0.9,1.1,8.6
167,Alex Len,PHX,69,20.2,3.1,5.5,.566,0.0,0.0,.333,2.3,3.3,.684,1.1,2.3,2.5,5.0,7.5,1.2,0.4,0.9,8.5
168,Dwight Powell,DAL,79,21.2,3.2,5.4,.593,0.4,1.1,.333,1.7,2.3,.719,0.7,2.4,1.7,3.9,5.6,1.2,0.8,0.4,8.5
169,Jerami Grant,OKC,81,20.3,3.0,5.6,.535,0.4,1.4,.291,2.0,3.0,.675,0.7,1.9,1.1,2.9,3.9,0.7,0.4,1.0,8.4
170,Garrett Temple,SAC,65,24.8,3.1,7.3,.418,1.4,3.5,.392,0.9,1.2,.769,1.2,2.1,0.3,2.0,2.3,1.9,0.9,0.4,8.4
171,Marcin Gortat,WAS,82,25.3,3.5,6.8,.518,0.0,0.0,.000,1.3,2.0,.675,1.2,2.1,2.2,5.4,7.6,1.8,0.5,0.7,8.4
172,Devin Harris,DEN,71,18.9,2.6,6.4,.412,1.1,3.2,.348,2.0,2.4,.835,1.1,2.2,0.2,1.6,1.8,2.1,0.7,0.2,8.4
173,Jerian Grant,CHI,74,22.8,2.8,6.8,.416,0.8,2.5,.326,1.9,2.5,.745,1.2,1.8,0.4,1.9,2.3,4.6,0.9,0.1,8.4
174,J.R. Smith,CLE,80,28.1,3.0,7.4,.403,1.8,4.8,.375,0.5,0.7,.696,1.0,2.0,0.4,2.6,2.9,1.8,0.8,0.1,8.3
175,Rajon Rondo,NOP,65,26.2,3.6,7.6,.468,0.8,2.3,.333,0.4,0.7,.543,2.3,1.8,0.5,3.6,4.0,8.2,1.1,0.2,8.3
176,Evan Turner,POR,79,25.7,3.3,7.3,.447,0.5,1.7,.318,1.2,1.4,.850,1.3,2.1,0.4,2.7,3.1,2.2,0.6,0.4,8.2
177,Jarrett Allen,BRK,72,20.0,3.2,5.5,.589,0.1,0.2,.333,1.6,2.0,.776,1.1,2.0,2.0,3.4,5.4,0.7,0.4,1.2,8.2
178,Dejounte Murray,SAS,81,21.5,3.3,7.5,.443,0.1,0.4,.265,1.3,1.8,.709,1.7,1.9,1.4,4.3,5.7,2.9,1.2,0.4,8.1
179,Delon Wright,TOR,69,20.8,2.9,6.3,.465,0.8,2.2,.366,1.4,1.7,.829,1.1,1.2,0.7,2.2,2.9,2.9,1.0,0.5,8.0
180,David Nwaba,CHI,70,23.5,2.9,6.0,.478,0.3,0.7,.346,1.9,2.9,.655,1.1,2.3,1.3,3.4,4.7,1.5,0.8,0.4,7.9
181,Cory Joseph,IND,82,26.9,3.1,7.4,.424,0.8,2.3,.353,0.9,1.1,.745,1.1,1.7,0.5,2.7,3.2,3.2,1.0,0.2,7.9
182,Kyle Anderson,SAS,74,26.7,3.1,5.9,.527,0.3,0.8,.333,1.4,2.0,.712,1.3,1.5,1.1,4.2,5.4,2.7,1.6,0.8,7.9
183,Josh Hart,LAL,63,23.2,2.8,6.0,.469,1.2,3.1,.396,1.0,1.5,.702,0.7,1.7,0.7,3.5,4.2,1.3,0.7,0.3,7.9
184,Tyler Ulis,PHX,71,23.4,3.0,7.8,.388,0.6,2.1,.288,1.2,1.4,.832,1.8,1.7,0.3,1.5,1.8,4.4,1.0,0.1,7.8
185,Justise Winslow,MIA,68,24.7,3.0,7.2,.424,0.7,1.9,.380,1.0,1.5,.635,1.1,2.1,0.9,4.5,5.4,2.2,0.8,0.5,7.8
186,Doug McDermott,DAL,81,21.8,2.9,6.3,.467,1.1,2.7,.426,0.8,1.0,.790,0.7,1.5,0.5,2.0,2.5,1.0,0.2,0.2,7.8
187,Darius Miller,NOP,82,23.7,2.6,5.9,.444,1.8,4.4,.411,0.7,0.8,.866,0.7,2.0,0.2,1.8,2.0,1.4,0.3,0.2,7.8
188,Jarell Martin,MEM,73,22.7,3.0,6.8,.446,0.5,1.3,.347,1.2,1.6,.767,1.2,2.9,1.3,3.0,4.4,1.0,0.5,0.7,7.7
189,Marquese Chriss,PHX,72,21.2,2.8,6.6,.423,0.8,2.6,.295,1.3,2.2,.608,1.5,2.8,1.1,4.4,5.5,1.2,0.7,1.0,7.7
190,Alec Burks,UTA,64,16.5,2.7,6.5,.411,0.7,2.2,.331,1.7,1.9,.863,0.9,1.2,0.3,2.7,3.0,1.0,0.6,0.1,7.7
191,Mario Chalmers,MEM,66,21.5,2.5,6.7,.379,0.8,2.9,.277,1.8,2.1,.855,1.8,2.7,0.2,2.2,2.4,3.0,1.2,0.2,7.7
192,Tony Parker,SAS,55,19.5,3.2,7.1,.459,0.2,0.7,.270,1.0,1.4,.705,1.2,0.9,0.1,1.6,1.7,3.5,0.5,0.0,7.7
193,Luke Kennard,DET,73,20.0,2.8,6.4,.443,1.1,2.7,.415,0.9,1.0,.855,0.9,1.2,0.3,2.1,2.4,1.7,0.6,0.2,7.6
194,Luc Mbah a Moute,HOU,61,25.6,2.7,5.7,.481,1.0,2.8,.364,1.1,1.6,.684,1.1,1.6,0.4,2.7,3.0,0.9,1.2,0.4,7.5
195,Jarrett Jack,NYK,62,25.0,3.0,7.1,.427,0.4,1.4,.291,1.0,1.2,.840,1.9,1.6,0.4,2.7,3.1,5.6,0.6,0.1,7.5
196,Ian Clark,NOP,74,19.7,3.0,6.7,.448,0.8,2.6,.318,0.6,0.8,.763,0.8,1.6,0.1,1.6,1.7,1.5,0.4,0.1,7.4
197,Pascal Siakam,TOR,81,20.7,3.1,6.1,.508,0.4,1.6,.220,0.7,1.1,.621,0.8,2.0,1.0,3.5,4.5,2.0,0.8,0.5,7.3
198,Nick Young,GSW,80,17.4,2.5,6.1,.412,1.5,4.1,.377,0.7,0.8,.862,0.5,1.2,0.2,1.3,1.6,0.5,0.5,0.1,7.3
199,Tomas Satoransky,WAS,73,22.5,2.8,5.3,.523,0.6,1.4,.465,1.0,1.3,.781,1.1,1.8,1.0,2.2,3.2,3.9,0.7,0.2,7.2
200,Kyle O'Quinn,NYK,77,18.0,2.9,5.0,.582,0.1,0.2,.235,1.3,1.6,.772,1.3,2.5,1.6,4.5,6.1,2.1,0.5,1.3,7.1
201,James Ennis,DET,72,22.3,2.5,5.3,.474,0.7,2.1,.333,1.3,1.6,.836,0.8,1.9,1.0,2.1,3.1,1.0,0.7,0.2,7.1
202,Mason Plumlee,DEN,74,19.5,3.0,5.0,.601,0.0,0.0,.000,1.1,2.4,.458,1.4,2.5,1.8,3.6,5.4,1.9,0.7,1.1,7.1
203,Bryn Forbes,SAS,80,19.0,2.6,6.2,.421,1.1,2.9,.390,0.6,0.9,.667,0.5,1.4,0.1,1.2,1.4,1.0,0.3,0.0,6.9
204,Jakob Poeltl,TOR,82,18.6,3.1,4.7,.659,0.0,0.0,.500,0.7,1.2,.594,1.0,2.6,2.0,2.8,4.8,0.7,0.5,1.2,6.9
205,Bam Adebayo,MIA,69,19.8,2.5,4.9,.512,0.0,0.1,.000,1.9,2.6,.721,1.0,2.0,1.7,3.8,5.5,1.5,0.5,0.6,6.9
206,Raymond Felton,OKC,82,16.6,2.7,6.7,.406,1.0,2.8,.352,0.4,0.5,.818,0.9,1.1,0.3,1.6,1.9,2.5,0.6,0.2,6.9
207,Tony Snell,MIL,75,27.4,2.5,5.7,.435,1.4,3.6,.403,0.5,0.6,.792,0.5,1.5,0.1,1.8,1.9,1.3,0.6,0.4,6.9
208,Shelvin Mack,ORL,69,19.8,2.6,6.0,.430,0.7,2.0,.345,1.0,1.4,.711,1.3,1.3,0.3,2.1,2.4,3.9,0.8,0.1,6.9
209,David West,GSW,73,13.7,3.0,5.2,.571,0.0,0.1,.375,0.8,1.1,.759,1.1,1.6,0.9,2.4,3.3,1.9,0.6,1.0,6.8
210,Nemanja Bjelica,MIN,67,20.5,2.6,5.5,.461,1.1,2.7,.415,0.5,0.7,.800,0.8,2.1,0.8,3.3,4.1,1.3,0.7,0.2,6.8
211,Joe Johnson,HOU,55,21.9,2.7,6.5,.406,0.7,2.6,.276,0.7,0.8,.889,0.9,1.2,0.3,2.9,3.1,1.5,0.3,0.1,6.8
212,Kosta Koufos,SAC,71,19.6,3.1,5.5,.571,0.0,0.0,.000,0.5,1.0,.446,0.7,2.1,2.1,4.5,6.6,1.2,0.7,0.5,6.7
213,Malik Monk,CHA,63,13.5,2.4,6.7,.360,1.3,3.9,.342,0.5,0.6,.842,0.8,1.0,0.1,0.9,1.0,1.4,0.3,0.1,6.7
214,Tyler Zeller,MIL,66,16.8,2.8,5.1,.560,0.2,0.4,.357,0.9,1.2,.722,0.7,1.9,1.7,3.0,4.6,0.7,0.2,0.5,6.7
215,Justin Jackson,SAC,68,22.2,2.7,6.2,.442,0.8,2.7,.308,0.4,0.5,.722,0.6,1.2,0.4,2.4,2.8,1.1,0.4,0.2,6.7
216,Isaiah Taylor,ATL,67,17.4,2.4,5.8,.418,0.3,1.2,.250,1.5,2.1,.702,1.3,1.7,0.3,1.1,1.4,3.1,0.5,0.1,6.6
217,Maybyner Nene,HOU,52,14.6,2.6,4.6,.569,0.0,0.0,.000,1.3,2.1,.636,0.7,2.4,1.1,2.3,3.4,0.9,0.5,0.3,6.5
218,Maurice Harkless,POR,59,21.4,2.5,5.0,.495,0.8,2.0,.415,0.7,1.0,.712,0.7,1.7,0.8,2.0,2.7,0.9,0.8,0.7,6.5
219,Dragan Bender,PHX,82,25.2,2.3,5.9,.386,1.4,3.9,.366,0.5,0.6,.765,1.4,2.0,0.5,3.9,4.4,1.6,0.3,0.6,6.5
220,Jodie Meeks,WAS,77,14.5,2.0,5.1,.399,0.9,2.7,.343,1.3,1.5,.863,0.5,0.7,0.2,1.4,1.6,0.9,0.4,0.1,6.3
221,Trevor Booker,IND,68,17.0,2.6,5.0,.516,0.1,0.5,.242,1.0,1.4,.710,0.9,1.8,1.7,3.0,4.7,1.2,0.4,0.3,6.3
222,T.J. McConnell,PHI,76,22.4,2.8,5.5,.499,0.4,0.8,.435,0.4,0.5,.795,1.5,1.6,0.5,2.5,3.0,4.0,1.2,0.2,6.3
223,Langston Galloway,DET,58,14.9,2.2,5.9,.371,1.3,3.8,.344,0.6,0.7,.805,0.3,0.7,0.2,1.4,1.6,1.0,0.6,0.1,6.2
224,P.J. Tucker,HOU,82,27.8,2.1,5.4,.390,1.4,3.8,.371,0.5,0.7,.717,0.9,2.5,1.1,4.4,5.6,0.9,1.0,0.3,6.1
225,Andre Iguodala,GSW,64,25.4,2.3,5.0,.463,0.5,1.8,.282,0.9,1.4,.632,1.0,1.5,0.8,3.1,3.8,3.3,0.8,0.6,6.0
226,Aron Baynes,BOS,81,18.3,2.6,5.5,.471,0.0,0.3,.143,0.7,1.0,.756,1.0,2.5,1.6,3.8,5.4,1.1,0.3,0.6,6.0
227,Gorgui Dieng,MIN,79,16.9,2.4,4.9,.479,0.2,0.8,.311,1.0,1.3,.775,0.7,1.9,1.3,3.2,4.6,0.9,0.6,0.5,5.9
228,Frank Ntilikina,NYK,78,21.9,2.3,6.4,.364,0.6,2.0,.318,0.6,0.9,.721,1.7,2.3,0.5,1.8,2.3,3.2,0.8,0.2,5.9
229,Davis Bertans,SAS,77,14.1,2.1,4.8,.440,1.2,3.3,.373,0.5,0.6,.816,0.5,1.2,0.2,1.8,2.0,1.0,0.3,0.4,5.9
230,Ogugua Anunoby,TOR,74,20.0,2.2,4.7,.471,1.0,2.7,.371,0.5,0.8,.629,0.6,1.8,0.6,1.9,2.5,0.7,0.7,0.2,5.9
231,Quincy Acy,BRK,70,19.4,1.9,5.2,.356,1.5,4.2,.349,0.7,0.9,.817,0.9,2.1,0.6,3.1,3.7,0.8,0.5,0.4,5.9
232,Deyonta Davis,MEM,62,15.2,2.6,4.3,.608,0.0,0.0,.000,0.6,0.9,.667,0.5,2.0,1.2,2.8,4.0,0.6,0.2,0.6,5.8
233,Jonas Jerebko,UTA,74,15.3,2.1,4.6,.466,0.9,2.1,.414,0.6,0.8,.807,0.4,1.7,0.7,2.6,3.3,0.6,0.3,0.2,5.8
234,Tristan Thompson,CLE,53,20.2,2.5,4.4,.562,0.0,0.0,.000,0.8,1.5,.544,0.7,1.9,2.4,4.3,6.6,0.6,0.3,0.3,5.8
235,Dante Cunningham,BRK,73,21.4,2.2,5.0,.451,0.8,2.3,.345,0.4,0.7,.596,0.5,1.5,1.1,3.0,4.1,0.7,0.5,0.4,5.7
236,Bismack Biyombo,ORL,82,18.2,2.2,4.3,.520,0.0,0.0,.000,1.2,1.9,.650,1.0,1.9,1.8,4.0,5.7,0.8,0.3,1.2,5.7
237,Shaun Livingston,GSW,71,15.9,2.4,4.8,.501,0.0,0.1,.000,0.7,0.9,.820,0.8,1.6,0.5,1.4,1.8,2.0,0.5,0.3,5.5
238,Norman Powell,TOR,70,15.2,2.1,5.3,.401,0.8,2.7,.285,0.5,0.6,.821,0.9,1.6,0.2,1.5,1.7,1.3,0.5,0.2,5.5
239,Wesley Johnson,LAC,74,20.1,2.0,5.0,.408,0.8,2.4,.339,0.6,0.8,.741,0.7,2.0,0.4,2.5,2.9,0.8,1.0,0.8,5.4
240,Zaza Pachulia,GSW,69,14.1,2.2,3.8,.564,0.0,0.0,.000,1.1,1.3,.806,1.0,1.8,1.3,3.4,4.7,1.6,0.6,0.2,5.4
241,Vince Carter,SAC,58,17.7,2.0,4.9,.403,1.0,2.8,.345,0.5,0.6,.757,0.6,1.7,0.3,2.2,2.6,1.2,0.7,0.4,5.4
242,Pat Connaughton,POR,82,18.1,2.0,4.8,.423,0.9,2.6,.352,0.5,0.5,.841,0.5,1.5,0.4,1.5,2.0,1.1,0.3,0.3,5.4
243,Maxi Kleber,DAL,72,16.8,2.1,4.3,.489,0.6,1.8,.312,0.6,0.8,.746,0.4,1.6,1.0,2.3,3.2,0.7,0.4,0.7,5.4
244,Ed Davis,POR,78,18.9,2.2,3.7,.582,0.0,0.0,.000,0.9,1.4,.667,0.8,2.4,2.3,5.0,7.4,0.5,0.4,0.7,5.3
245,Corey Brewer,OKC,72,16.8,2.0,4.4,.449,0.4,1.5,.282,0.9,1.2,.722,0.7,1.9,0.6,1.5,2.1,0.9,1.1,0.2,5.3
246,Daniel Theis,BOS,63,14.9,2.0,3.7,.541,0.3,0.9,.310,1.0,1.3,.753,0.9,2.5,1.4,2.9,4.3,0.9,0.5,0.8,5.3
247,Tyus Jones,MIN,82,17.9,1.8,4.0,.457,0.5,1.6,.349,0.9,1.0,.877,0.7,1.3,0.2,1.4,1.6,2.8,1.2,0.1,5.1
248,Royce O'Neale,UTA,69,16.7,1.7,4.1,.423,0.6,1.7,.356,0.9,1.1,.803,0.8,1.5,0.4,3.1,3.4,1.4,0.5,0.2,5.0
249,Cheick Diallo,NOP,52,11.2,2.0,3.4,.580,0.0,0.0,.000,1.0,1.3,.758,0.5,1.6,0.9,3.2,4.1,0.4,0.2,0.4,4.9
250,Thon Maker,MIL,74,16.7,1.8,4.3,.411,0.4,1.4,.298,0.9,1.3,.699,0.6,2.2,1.0,2.0,3.0,0.6,0.5,0.7,4.8
251,JaVale McGee,GSW,65,9.5,2.1,3.4,.621,0.0,0.1,.000,0.6,0.8,.731,0.4,1.4,0.9,1.7,2.6,0.5,0.3,0.9,4.8
252,Ian Mahinmi,WAS,77,14.9,1.8,3.2,.556,0.0,0.0,.000,1.2,1.7,.703,1.3,3.0,1.8,2.3,4.1,0.7,0.5,0.5,4.8
253,Alex Abrines,OKC,75,15.1,1.5,3.9,.395,1.1,2.9,.380,0.5,0.6,.848,0.3,1.7,0.3,1.2,1.5,0.4,0.5,0.1,4.7
254,Amir Johnson,PHI,74,15.8,1.9,3.5,.538,0.1,0.4,.312,0.7,1.1,.612,0.7,2.6,1.7,2.8,4.5,1.6,0.6,0.6,4.6
255,Jordan Bell,GSW,57,14.2,2.0,3.2,.627,0.0,0.1,.000,0.5,0.8,.682,0.9,1.6,1.1,2.6,3.6,1.8,0.6,1.0,4.6
256,Jose Calderon,CLE,57,16.0,1.6,3.2,.503,0.8,1.7,.464,0.4,0.5,.800,0.7,1.4,0.2,1.2,1.5,2.1,0.5,0.0,4.5
257,Zach Collins,POR,66,15.8,1.7,4.4,.398,0.5,1.7,.310,0.4,0.6,.643,0.9,2.0,0.7,2.7,3.3,0.8,0.3,0.5,4.4
258,Treveon Graham,CHA,63,16.7,1.5,3.5,.434,0.6,1.5,.412,0.7,0.9,.695,0.4,1.7,0.7,1.3,1.9,0.9,0.5,0.0,4.3
259,Shane Larkin,BOS,54,14.3,1.6,4.1,.384,0.6,1.6,.360,0.6,0.7,.865,0.6,1.1,0.3,1.4,1.7,1.8,0.5,0.0,4.3
260,Sam Dekker,LAC,73,12.1,1.8,3.5,.494,0.1,0.8,.167,0.5,0.8,.661,0.5,1.0,0.6,1.8,2.4,0.5,0.3,0.1,4.2
261,Lance Thomas,NYK,73,18.5,1.4,3.7,.382,0.7,1.7,.403,0.6,0.7,.830,0.6,1.8,0.6,1.8,2.4,0.6,0.4,0.2,4.1
262,Kevon Looney,GSW,66,13.8,1.7,2.9,.580,0.0,0.1,.200,0.6,1.2,.545,0.5,1.6,1.3,2.0,3.3,0.6,0.5,0.8,4.0
263,Patrick McCaw,GSW,57,16.9,1.6,3.9,.409,0.3,1.4,.237,0.5,0.6,.765,0.7,1.2,0.3,1.2,1.4,1.4,0.8,0.2,4.0
264,Cedi Osman,CLE,61,11.0,1.5,3.0,.484,0.5,1.4,.368,0.4,0.8,.565,0.5,1.3,0.3,1.7,2.0,0.7,0.4,0.0,3.9
265,Patrick Patterson,OKC,82,15.5,1.3,3.2,.398,0.8,2.1,.386,0.5,0.6,.870,0.4,1.1,0.4,2.0,2.4,0.7,0.6,0.3,3.9
266,Sindarius Thornwell,LAC,73,15.8,1.4,3.2,.429,0.3,0.8,.377,0.8,1.2,.670,0.7,1.7,0.5,1.5,1.9,0.9,0.7,0.3,3.9
267,Wesley Iwundu,ORL,62,16.5,1.5,3.5,.427,0.1,0.7,.196,0.5,0.8,.723,0.5,1.3,0.6,1.6,2.2,0.9,0.5,0.2,3.7
268,Tarik Black,HOU,51,10.5,1.5,2.5,.591,0.0,0.2,.091,0.6,1.2,.460,0.7,2.1,1.2,2.0,3.2,0.3,0.4,0.6,3.5
269,Salah Mejri,DAL,61,11.9,1.4,2.2,.642,0.0,0.0,.000,0.6,1.1,.576,0.6,2.0,1.4,2.6,4.0,0.6,0.4,1.1,3.5
270,Malik Beasley,DEN,62,9.4,1.2,2.9,.410,0.5,1.3,.341,0.4,0.5,.667,0.4,0.6,0.2,0.9,1.1,0.5,0.2,0.1,3.2
271,Terrance Ferguson,OKC,61,12.5,1.1,2.8,.414,0.7,2.0,.333,0.1,0.2,.900,0.2,1.4,0.3,0.5,0.8,0.3,0.4,0.2,3.1
272,Abdel Nader,BOS,48,10.9,1.0,3.1,.336,0.5,1.4,.354,0.5,0.8,.590,0.7,0.9,0.3,1.2,1.5,0.5,0.3,0.2,3.0
273,Tim Frazier,WAS,59,14.2,1.2,2.9,.395,0.3,0.9,.304,0.4,0.5,.767,1.0,1.6,0.3,1.6,1.9,3.3,0.8,0.1,3.0
274,Semi Ojeleye,BOS,73,15.8,0.9,2.6,.346,0.5,1.7,.320,0.3,0.6,.610,0.3,1.2,0.5,1.7,2.2,0.3,0.3,0.1,2.7
275,Ekpe Udoh,UTA,63,12.8,1.0,1.9,.500,0.0,0.0,.000,0.7,0.9,.750,0.3,1.7,1.1,1.3,2.4,0.8,0.7,1.2,2.6
276,Josh Huestis,OKC,69,14.2,0.9,2.6,.330,0.5,1.7,.287,0.1,0.3,.300,0.4,1.2,0.6,1.7,2.3,0.3,0.2,0.6,2.3
277,Brandon Paul,SAS,64,9.0,0.9,2.0,.433,0.2,0.8,.278,0.3,0.7,.512,0.5,0.9,0.1,1.0,1.1,0.6,0.4,0.1,2.3
278,Eric Moreland,DET,67,12.0,1.0,1.8,.541,0.0,0.0,.000,0.2,0.4,.379,0.6,1.7,1.2,2.9,4.1,1.2,0.5,0.8,2.1
279,DeAndre Liggins,NOP,58,12.5,0.7,1.8,.377,0.3,0.9,.358,0.0,0.1,.400,0.3,1.4,0.1,1.2,1.3,0.8,0.6,0.2,1.7
